unidade;ano;mes;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HRAD;2024;5;IV;> 15;1,0;1;1;1,0
HRAD;2024;6;III;11 a 5;0,731;1;1;0,73
HRAD;2024;7;I;0 a 5;0,093;8;1;0,74
HRAD;2024;7;III;11 a 5;0,731;1;1;0,73
HRAD;2024;8;II;6 a 10;0,559;4;1;2,24
HRAD;2024;9;I;0 a 5;0,093;11;1;1,02
HRAD;2024;9;II;6 a 10;0,559;1;1;0,56
HRAD;2024;10;I;0 a 5;0,093;13;1;1,21
HRAD;2024;10;II;6 a 10;0,559;3;1;1,68
HRAD;2024;10;IV;> 15;1,0;1;1;1,0
HRAD;2024;11;I;0 a 5;0,093;11;1;1,02
HRAD;2024;11;II;6 a 10;0,559;1;1;0,56
HRAD;2024;12;II;6 a 10;0,559;2;2;1,12
HRAD;2024;12;III;11 a 5;0,731;1;1;0,73
HRAD;2024;12;IV;> 15;1,0;1;1;1,0
HRAD;2025;1;II;6 a 10;0,559;2;1;1,12
HRAD;2025;1;III;11 a 5;0,731;2;1;1,46
HRAD;2025;1;IV;> 15;1,0;1;1;1,0
HRAD;2025;2;II;6 a 10;0,559;3;1;1,68
HRAD;2025;4;II;6 a 10;0,559;5;1;2,8
HRAD;2025;4;IV;> 15;1,0;1;1;1,0
HRAD;2025;5;IV;> 15;1,0;1;1;1,0
HRAD;2025;6;II;6 a 10;0,559;6;1;3,35
HRAD;2025;6;IV;> 15;1,0;1;1;1,0
HRAD;2025;7;I;0 a 5;0,093;11;1;1,02
HRAD;2025;7;II;6 a 10;0,559;1;1;0,56
HRAD;2025;7;III;11 a 5;0,731;2;2;1,46
HRAD;2025;7;IV;> 15;1,0;1;1;1,0
HRAD;2025;8;I;0 a 5;0,093;8;1;0,74
HRAD;2025;11;II;6 a 10;0,559;2;1;1,12
HRAD;2025;11;III;11 a 5;0,731;1;1;0,73
HRAD;2025;11;IV;> 15;1,0;1;1;1,0
HRAD;2025;12;I;0 a 5;0,093;14;1;1,3
HRAD;2025;12;II;6 a 10;0,559;2;1;1,12
HRAD;2025;12;IV;> 15;1,0;1;1;1,0
HRAD;2026;1;III;11 a 5;0,731;1;1;0,73
HRAD;2026;2;II;6 a 10;0,559;1;1;0,56
HRAD;2026;2;III;11 a 5;0,731;4;4;2,92
HRAD;2026;3;II;6 a 10;0,559;2;1;1,12
HRAD;2026;3;III;11 a 5;0,731;3;2;2,19
HRJP;2019;1;I;0 a 5;0,093;3;1;0,28
HRJP;2019;4;III;11 a 5;0,731;1;1;0,73
HRJP;2019;5;III;11 a 5;0,731;1;1;0,73
HRJP;2019;7;II;6 a 10;0,559;3;1;1,68
HRJP;2019;7;III;11 a 5;0,731;1;1;0,73
HRJP;2019;8;I;0 a 5;0,093;4;1;0,37
HRJP;2019;9;III;11 a 5;0,731;3;2;2,19
HRJP;2019;9;IV;> 15;1,0;1;1;1,0
