unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
HRAD;2019;1;I;0 a 5;9,3;9;0,84;0
HRAD;2019;1;II;6 a 10;55,9;3;1,68;0
HRAD;2019;1;III;11 a 5;73,1;1;0,73;0
HRAD;2019;1;IV;> 15;100;0;0,0;0
HRAD;2019;2;I;0 a 5;9,3;3;0,28;0
HRAD;2019;2;II;6 a 10;55,9;3;1,68;1
HRAD;2019;2;III;11 a 5;73,1;0;0,0;0
HRAD;2019;2;IV;> 15;100;0;0,0;0
HRAD;2019;3;I;0 a 5;9,3;6;0,56;0
HRAD;2019;3;II;6 a 10;55,9;2;1,12;1
HRAD;2019;3;III;11 a 5;73,1;0;0,0;0
HRAD;2019;3;IV;> 15;100;0;0,0;0
